player,year,attempts,made,expected_made,kick_plus,tier
Robbie Gould,2021,23,20,19.3,103.4,ranked
Robbie Gould,2022,32,27,28.5,94.7,ranked
Roberto Aguayo,2016,31,22,27.1,81.1,ranked
Rodrigo Blankenship,2020,37,32,32.6,98.3,ranked
Rodrigo Blankenship,2021,14,11,12.0,91.5,small_sample
Rodrigo Blankenship,2022,5,4,4.3,93.8,unranked
Ryan Fitzgerald,2025,29,24,25.3,94.7,ranked
Ryan Longwell,2001,31,20,22.3,89.8,ranked
Ryan Longwell,2002,34,28,27.2,103.0,ranked
Ryan Longwell,2003,26,23,20.7,111.4,ranked
Ryan Longwell,2004,28,24,22.6,106.2,ranked
Ryan Longwell,2005,27,20,21.3,93.9,ranked
Ryan Longwell,2006,25,21,20.9,100.5,ranked
Ryan Longwell,2007,24,20,18.3,109.4,ranked
Ryan Longwell,2008,34,29,28.6,101.4,ranked
Ryan Longwell,2009,28,26,23.3,111.4,ranked
Ryan Longwell,2010,18,17,16.1,105.5,small_sample
Ryan Longwell,2011,28,22,23.1,95.2,ranked
Ryan Santoso,2021,5,4,4.7,85.4,unranked
Ryan Succop,2009,29,25,23.3,107.2,ranked
Ryan Succop,2010,26,20,21.3,94.1,ranked
Ryan Succop,2011,30,24,24.7,97.1,ranked
Ryan Succop,2012,34,28,29.1,96.4,ranked
Ryan Succop,2013,28,22,24.2,90.8,ranked
Ryan Succop,2014,22,19,18.6,102.0,ranked
Ryan Succop,2015,16,14,13.1,107.2,small_sample
Ryan Succop,2016,24,22,19.6,112.2,ranked
Ryan Succop,2017,42,35,35.2,99.4,ranked
Ryan Succop,2018,30,26,26.1,99.7,ranked
Ryan Succop,2019,6,1,4.4,23.0,unranked
Ryan Succop,2020,31,28,27.6,101.6,ranked
Ryan Succop,2021,30,25,26.8,93.3,ranked
Ryan Succop,2022,38,31,32.7,94.9,ranked
Sam Ficken,2017,3,2,2.8,71.0,unranked
Sam Ficken,2018,3,1,2.7,37.2,unranked
Sam Ficken,2019,27,19,20.6,92.1,ranked
Sam Ficken,2020,15,13,13.2,98.6,small_sample
Sam Sloman,2020,13,10,11.5,86.6,small_sample
Sebastian Janikowski,2001,28,23,21.6,106.6,ranked
Sebastian Janikowski,2002,33,26,25.8,100.8,ranked
Sebastian Janikowski,2003,22,21,17.7,118.9,ranked
Sebastian Janikowski,2004,28,25,22.7,110.3,ranked
Sebastian Janikowski,2005,30,20,23.3,85.7,ranked
Sebastian Janikowski,2006,25,18,18.8,95.9,ranked
Sebastian Janikowski,2007,32,23,22.1,104.0,ranked
