player,bucket,attempts,made,expected_made,kick_plus
Kai Forbath,20-29,40,38,39.0,97.5
Kai Forbath,30-39,45,40,40.2,99.6
Kai Forbath,40-49,50,43,39.1,110.0
Kai Forbath,50-59,19,12,12.8,93.6
Billy Cundiff,60+,2,0,0.4,0.0
Justin Medlock,40-49,4,2,3.2,62.4
Justin Medlock,50-59,1,0,0.6,0.0
Justin Tucker,60+,9,2,2.9,68.1
Randy Bullock,<20,2,2,2.0,100.0
Randy Bullock,20-29,55,54,53.8,100.4
Randy Bullock,30-39,79,73,72.3,101.0
Randy Bullock,40-49,94,72,73.5,98.0
Randy Bullock,50-59,29,15,19.0,78.7
Caleb Sturgis,<20,2,2,2.0,100.0
Caleb Sturgis,20-29,36,36,35.1,102.7
Caleb Sturgis,30-39,45,40,41.1,97.2
Caleb Sturgis,40-49,42,29,33.2,87.4
Caleb Sturgis,50-59,25,13,16.1,80.9
Robbie Gould,60+,1,0,0.3,0.0
Matt Prater,60+,5,3,2.2,135.0
John Potter,20-29,2,2,2.0,102.5
John Potter,40-49,1,1,0.8,120.5
John Potter,50-59,1,0,0.7,0.0
Cody Parkey,20-29,34,34,33.1,102.6
Cody Parkey,30-39,47,40,42.7,93.7
Cody Parkey,40-49,52,39,40.7,95.9
Cody Parkey,50-59,10,8,6.4,125.1
Graham Gano,60+,2,1,0.4,250.0
Blair Walsh,<20,3,3,3.0,100.0
Chandler Catanzaro,20-29,33,32,32.2,99.4
Chandler Catanzaro,30-39,44,40,40.3,99.1
Chandler Catanzaro,40-49,46,34,35.9,94.6
Chandler Catanzaro,50-59,15,9,9.5,95.1
Cairo Santos,<20,2,2,2.0,100.0
Cairo Santos,20-29,70,68,68.4,99.5
Cairo Santos,30-39,93,87,86.1,101.1
Cairo Santos,40-49,97,76,76.3,99.5
Cairo Santos,50-59,48,33,32.7,101.1
Patrick Murray,20-29,8,7,7.8,89.5
Patrick Murray,30-39,17,16,15.0,106.8
Patrick Murray,40-49,12,10,9.4,106.6
Patrick Murray,50-59,12,7,7.9,88.5
Connor Barth,<20,3,3,3.0,100.0
Brandon McManus,20-29,85,81,83.1,97.5
Brandon McManus,30-39,92,87,84.7,102.7
Brandon McManus,40-49,95,78,74.2,105.1
Brandon McManus,50-59,80,50,53.4,93.6
