player,<20_kick_plus,<20_att,<20_sample_tag,20-29_kick_plus,20-29_att,20-29_sample_tag,30-39_kick_plus,30-39_att,30-39_sample_tag,40-49_kick_plus,40-49_att,40-49_sample_tag,50-59_kick_plus,50-59_att,50-59_sample_tag,60+_kick_plus,60+_att,60+_sample_tag
John Hall,,3,insufficient,105.1,34,moderate,100.0,37,moderate,98.4,41,normal,82.6,16,moderate,,,
John Kasay,100.0,5,small,104.3,90,normal,109.4,68,normal,108.2,92,normal,92.8,45,normal,,3,insufficient
John Parker Romo,,,,102.6,5,small,97.4,11,moderate,90.5,7,small,,3,insufficient,,,
John Potter,,,,,2,insufficient,,,,,1,insufficient,,1,insufficient,,,
Johnny Hekker,,,,,1,insufficient,,,,,,,,,,,,
Jon Brown,,,,,,,,2,insufficient,,,,,,,,,
Jon Hilbert,,,,,3,insufficient,101.2,7,small,41.4,8,small,,,,,,
Jose Cortez,,2,insufficient,89.5,26,moderate,101.6,21,moderate,71.0,24,moderate,,1,insufficient,,,
Josh Brown,,4,insufficient,101.7,98,normal,103.2,106,normal,98.7,117,normal,118.0,55,normal,,,
Josh Lambo,,,,102.2,29,moderate,107.6,51,normal,98.5,44,normal,113.8,22,moderate,,1,insufficient
Josh Scobee,,4,insufficient,100.7,66,normal,101.7,80,normal,93.0,109,normal,109.1,39,moderate,,3,insufficient
Joshua Karty,,,,89.1,15,moderate,85.2,15,moderate,87.7,10,moderate,108.3,9,small,,,
Jude McAtamney,,,,,1,insufficient,,2,insufficient,,,,,,,,,
Justin Medlock,,,,,3,insufficient,,4,insufficient,,4,insufficient,,1,insufficient,,,
Justin Tucker,,,,102.4,111,normal,106.6,125,normal,112.7,136,normal,106.8,87,normal,68.1,9,small
Ka'imi Fairbairn,,1,insufficient,97.5,65,normal,104.3,83,normal,105.6,73,normal,107.2,68,normal,,1,insufficient
Kaare Vedvik,,,,,,,,,,,1,insufficient,,,,,,
Kai Forbath,,,,97.5,40,normal,99.6,45,normal,110.0,50,normal,93.6,19,moderate,,,
Kris Brown,,4,insufficient,97.6,64,normal,93.3,84,normal,97.3,89,normal,96.8,29,moderate,,,
Kyle Brindza,,,,,2,insufficient,,3,insufficient,,3,insufficient,,4,insufficient,,,
Lawrence Tynes,,4,insufficient,100.4,80,normal,93.3,72,normal,96.3,56,normal,97.7,20,moderate,,1,insufficient
Lirim Hajrullahu,,,,,2,insufficient,,2,insufficient,,1,insufficient,,,,,,
Lucas Havrisik,,,,101.7,8,small,106.5,5,small,53.4,7,small,,3,insufficient,,1,insufficient
Martin Gramatica,,,,96.2,36,moderate,99.4,43,normal,76.8,42,normal,126.9,12,moderate,,,
Mason Crosby,100.0,10,moderate,101.1,116,normal,96.9,152,normal,96.3,134,normal,88.2,79,normal,,,
Matt Ammendola,,1,insufficient,101.5,10,moderate,97.5,11,moderate,47.8,8,small,0.0,5,small,,,
Matt Bryant,102.2,7,small,99.5,125,normal,101.6,140,normal,107.2,130,normal,103.1,61,normal,,1,insufficient
Matt Gay,,,,102.1,45,normal,98.7,62,normal,112.5,55,normal,90.2,52,normal,,2,insufficient
Matt McCrane,,,,,3,insufficient,,2,insufficient,78.8,5,small,,2,insufficient,,,
Matt Prater,100.0,5,small,99.8,114,normal,100.6,137,normal,93.3,141,normal,114.6,105,normal,135.0,5,small
Matt Stover,,4,insufficient,103.4,95,normal,107.5,74,normal,105.0,87,normal,79.4,9,small,,,
Matthew Wright,,,,101.8,13,moderate,102.9,24,moderate,106.3,20,moderate,92.4,11,moderate,,,
Micah Knorr,,,,,1,insufficient,,,,,,,,,,,,
Michael Husted,,,,,,,,1,insufficient,,,,,,,,,
Michael Koenen,,,,,1,insufficient,,4,insufficient,,1,insufficient,60.1,7,small,,,
Mike Badgley,,,,98.8,29,moderate,104.3,33,moderate,100.9,53,normal,65.1,16,moderate,,,
Mike Hollis,,,,89.6,13,moderate,90.5,21,moderate,100.0,21,moderate,95.8,6,small,,,
Mike Nugent,100.0,5,small,101.3,86,normal,93.3,101,normal,98.5,105,normal,74.4,30,moderate,,,
Mike Scifres,,,,,,,,,,,1,insufficient,,,,,,
Mike Vanderjagt,,2,insufficient,99.1,55,normal,106.0,44,normal,109.4,59,normal,150.7,10,moderate,,,
Mitch Wishnowsky,,,,,1,insufficient,,,,,1,insufficient,,,,,,
Morten Andersen,,1,insufficient,102.4,42,normal,110.4,51,normal,100.3,45,normal,71.2,8,small,,,
Nate Freese,,,,,2,insufficient,,1,insufficient,,4,insufficient,,,,,,
Nate Kaeding,100.0,5,small,100.9,71,normal,108.2,51,normal,100.7,66,normal,105.3,17,moderate,,,
Neil Rackers,,4,insufficient,101.8,84,normal,99.4,91,normal,106.6,82,normal,105.4,46,normal,,,
Nick Folk,,4,insufficient,97.5,130,normal,103.1,138,normal,99.2,157,normal,109.6,76,normal,,2,insufficient
Nick Novak,100.0,5,small,103.1,58,normal,93.0,71,normal,97.4,57,normal,85.2,31,moderate,,,
Nick Rose,,,,102.1,6,small,,4,insufficient,,2,insufficient,,2,insufficient,,,
Nick Sciba,,,,,1,insufficient,,1,insufficient,,,,,,,,,
Ola Kimrin,,,,,3,insufficient,,3,insufficient,,3,insufficient,,1,insufficient,,,
Olindo Mare,,4,insufficient,97.0,96,normal,95.4,88,normal,106.4,78,normal,84.6,33,moderate,,,
Owen Pochman,,,,,1,insufficient,45.4,8,small,115.3,5,small,,2,insufficient,,,
Patrick Murray,,,,89.5,8,small,106.8,17,moderate,106.6,12,moderate,88.5,12,moderate,,,
Paul Edinger,,1,insufficient,98.5,33,moderate,77.8,40,normal,110.9,57,normal,119.3,22,moderate,,,
Phil Dawson,100.0,10,moderate,98.3,149,normal,99.4,144,normal,101.0,134,normal,122.7,51,normal,,3,insufficient
Randy Bullock,,2,insufficient,100.4,55,normal,101.0,79,normal,98.0,94,normal,78.7,29,moderate,,,
Rian Lindell,,4,insufficient,99.5,109,normal,103.9,108,normal,91.0,101,normal,87.6,34,moderate,,1,insufficient
Richie Cunningham,,,,,1,insufficient,,,,,,,,,,,,
