rank,player,year,attempts,kick_plus
313,Phil Dawson,2015,27,102.3
314,John Kasay,2007,28,102.3
315,John Kasay,2005,34,102.3
316,Greg Zuerlein,2016,22,102.3
317,Josh Scobee,2006,32,102.3
318,Stephen Gostkowski,2008,39,102.3
319,Mike Nugent,2011,38,102.3
320,Wil Lutz,2017,36,102.2
321,Bill Gramatica,2001,20,102.2
322,Jake Elliott,2019,26,102.2
323,Josh Lambo,2015,32,102.2
324,Rian Lindell,2012,24,102.2
325,Mason Crosby,2013,37,102.1
326,Chris Boswell,2025,32,102.1
327,Cody Parkey,2014,36,102.1
328,John Carney,2008,37,102.1
329,Matthew Wright,2021,24,102.0
330,Josh Brown,2006,31,102.0
331,Ryan Succop,2014,22,102.0
332,Matt Bryant,2013,27,101.9
333,Eddy Pineiro,2023,29,101.9
334,Steven Hauschka,2011,30,101.9
335,Ka'imi Fairbairn,2020,31,101.9
336,Matt Bryant,2012,38,101.9
337,Phil Dawson,2016,21,101.8
338,Brandon McManus,2021,31,101.8
339,Chad Ryland,2024,32,101.7
340,Sebastian Janikowski,2016,35,101.6
341,Ryan Succop,2020,31,101.6
342,John Kasay,2009,27,101.5
343,Phil Dawson,2007,30,101.5
344,Doug Brien,2004,29,101.5
345,Morten Andersen,2007,28,101.5
346,Zane Gonzalez,2019,35,101.5
347,Ka'imi Fairbairn,2024,42,101.4
348,Ryan Longwell,2008,34,101.4
349,Blair Walsh,2015,39,101.4
350,Mason Crosby,2011,28,101.3
351,Joe Nedney,2002,31,101.3
352,Dan Bailey,2016,32,101.3
353,Jeff Reed,2005,29,101.3
354,Jeff Reed,2008,31,101.3
355,Dan Carpenter,2015,27,101.1
356,Chase McLaughlin,2022,36,101.1
357,Jason Sanders,2023,28,101.1
358,Daniel Carlson,2018,21,101.1
359,Randy Bullock,2014,35,101.1
360,Matt Stover,2007,31,101.0
361,Greg Zuerlein,2018,31,101.0
362,Matt Prater,2025,20,101.0
363,Matt Prater,2018,32,100.9
364,Phil Dawson,2008,30,100.9
365,Josh Brown,2010,39,100.9
366,Cairo Santos,2021,30,100.9
367,Sebastian Janikowski,2002,33,100.8
368,Jay Feely,2001,37,100.8
369,Adam Vinatieri,2017,34,100.8
370,Nick Novak,2015,21,100.7
371,Chandler Catanzaro,2015,31,100.7
372,Kai Forbath,2017,38,100.7
373,Jason Myers,2025,48,100.6
374,Tyler Bass,2022,31,100.6
375,David Akers,2011,52,100.6
376,Greg Zuerlein,2020,41,100.6
377,Sebastian Janikowski,2010,41,100.6
